,City
90,"Klawock, AK"
91,"Elim, AK"
92,"Grayling, AK"
93,"Islip, NY"
94,"Wisconsin Rapids, WI"
95,"Blackstone, VA"
96,"Jeffersonville, IN"
97,"McCall, ID"
98,"Tuluksak, AK"
99,"Suffolk, NY"
100,"Minchumina, AK"
101,"Port Alexander, AK"
102,"Roxboro, NC"
103,"Casper, WY"
104,"Watertown, NY"
105,"Lorain/Elyria, OH"
106,"Akhiok, AK"
107,"Santa Fe, NM"
108,"Thomasville, GA"
109,"West Yellowstone, MT"
110,"Platinum, AK"
111,"Rochester, MN"
112,"Gallatin, TN"
113,"Fayetteville, AR"
114,"Concord, NH"
115,"Lihue, HI"
116,"Kodiak, AK"
117,"Akiachak, AK"
118,"Olathe, KS"
119,"Providence, RI"
120,"Cortez, CO"
121,"St. Paul, AK"
122,"Beaufort, NC"
123,"Provincetown, MA"
124,"Miami, OK"
125,"Hamilton, OH"
126,"Decatur, WA"
127,"Kapalua, HI"
128,"Corpus Christi, TX"
129,"Rock Springs, WY"
130,"Fortuna, CA"
131,"Hancock/Houghton, MI"
132,"Teller, AK"
133,"Johnstown, PA"
134,"Chinitna Bay, AK"
135,"Austin, TX"
136,"Unalakleet, AK"
137,"Vancouver, WA"
138,"Stafford, VA"
139,"West Point, AK"
140,"College Park, MD"
141,"Midland/Odessa, TX"
142,"Bainbridge, GA"
143,"Charleston/Dunbar, WV"
144,"Tinian, TT"
145,"Fort Lauderdale, FL"
146,"Red Dog, AK"
147,"Florence, SC"
148,"Portage Creek, AK"
149,"Kwethluk, AK"
150,"Gaithersburg, MD"
151,"Helena, MT"
152,"Hampton, NH"
153,"Port Armstrong, AK"
154,"Hallo Bay, AK"
155,"Franklin, NC"
156,"Aiken, SC"
157,"Tatalina, AK"
158,"Decatur, IL"
159,"Havre, MT"
160,"Stevens Village, AK"
161,"Salem, OR"
162,"El Dorado, AR"
163,"Bagdad, AZ"
164,"Eureka, CA"
165,"Visalia, CA"
166,"Twin Hills, AK"
167,"Mattoon/Charleston, IL"
168,"Lewisburg, WV"
169,"Shungnak, AK"
170,"New York, NY"
171,"West Creek, NJ"
172,"St. Michael, AK"
173,"Arlington, TX"
174,"Ardmore, OK"
175,"Camp Douglas, WI"
176,"Naukiti, AK"
177,"Gustavus, AK"
178,"Port Bailey, AK"
179,"Carlisle, PA"
180,"Nyac, AK"
181,"Columbia, SC"
182,"Nome, AK"
183,"Tyonek, AK"
184,"Chadron, NE"
185,"Springfield, IL"
186,"Laramie, WY"
187,"North Adams, MA"
188,"Grand Island, NE"
189,"Buffalo, NY"
190,"Deadhorse, AK"
191,"Sebring, FL"
192,"Lafayette, LA"
193,"Baton Rouge, LA"
194,"Atlantic City, NJ"
195,"Fort Collins/Loveland, CO"
196,"Tupelo, MS"
197,"Aurora, IL"
198,"Sault Ste. Marie, MI"
199,"Ontario, CA"
200,"Newport, VT"
201,"Fishers Island, NY"
202,"Deadhorse1, AK"
203,"Valdez, AK"
204,"Whitmore, AZ"
205,"Fort Leonard Wood, MO"
206,"Pilot Station, AK"
207,"Washington, DC"
208,"Pogo Mines, AK"
209,"Georgetown, DE"
210,"Cornelia, GA"
211,"Oklahoma City, OK"
212,"Belleville, IL"
213,"Bemidji, MN"
214,"Andover, NJ"
215,"Sleetmute, AK"
216,"Williamsburg, VA"
217,"Sparrevohn, AK"
218,"Staunton, VA"
219,"Aspen, CO"
220,"Glendale, AZ"
221,"Takotna, AK"
222,"Myrtle Beach, SC"
223,"Thomson, GA"
224,"Holland, MI"
225,"Lonely, AK"
226,"Battle Creek, MI"
227,"Harrisburg, PA"
228,"Poulsbo, WA"
229,"Karluk Portage, AK"
230,"Gainesville, FL"
231,"Ocean City, MD"
232,"Spokane, WA"
233,"Burlington, IA"
234,"Fairbanks/Ft. Wainwright, AK"
235,"Colorado Springs, CO"
236,"Hendersonville, NC"
237,"Sanford, ME"
238,"Thief River Falls, MN"
239,"Houston, TX"
240,"Kennesaw, GA"
241,"South Naknek, AK"
242,"Eagle Harbor, AK"
243,"Whidbey Island, WA"
244,"Lamar, CO"
245,"El Centro, CA"
246,"Polson, MT"
247,"New Bedford/Fall River, MA"
248,"Tuntutuliak, AK"
249,"Renton, WA"
250,"Santa Ana, CA"
251,"Augusta/Waterville, ME"
252,"Santa Ynez, CA"
253,"Fort Pierce, FL"
254,"Thorne Bay, AK"
255,"Burlington, NC"
256,"Lansing, MI"
257,"Dothan, AL"
258,"Savannah, GA"
259,"Meyers Chuck, AK"
260,"Sarasota/Bradenton, FL"
261,"Victoria, TX"
262,"Jefferson, OH"
263,"Minden, NV"
264,"Great Barrington, MA"
265,"Miami, FL"
266,"Bunnell, FL"
267,"Bangor, ME"
268,"Golovin, AK"
269,"Westsound, WA"
270,"Kobuk, AK"
271,"Jamestown, ND"
272,"Kearney, NE"
273,"Greenville, SC"
274,"Culebra, PR"
275,"Roanoke, VA"
276,"Center Island, WA"
277,"Reno, NV"
278,"Coldfoot, AK"
279,"Noatak, AK"
280,"Clifton, AZ"
281,"Mitchell, SD"
282,"Ashland, WI"
283,"Springfield, VT"
284,"Barrow, AK"
285,"Parker, AZ"
286,"Lake Charles, LA"
287,"Nashua, NH"
288,"Moab, UT"
289,"Worcester, MA"
290,"Sitka, AK"
291,"Fryeburg, ME"
292,"Arctic Village, AK"
293,"Sun Valley/Hailey/Ketchum, ID"
294,"Plymouth, MA"
295,"Clinton, IA"
296,"Greenwood, MS"
297,"New Bern/Morehead/Beaufort, NC"
298,"Ironwood, MI"
299,"Terrell, TX"
300,"Muscle Shoals, AL"
301,"Blairstown, NJ"
302,"Hopedale, MA"
303,"Roche Harbor, WA"
304,"Gerlach, NV"
305,"Excursion Inlet, AK"
306,"Boulder City, NV"
307,"Anchorage, AK"
308,"Eek, AK"
309,"Mountain Village, AK"
310,"Cabo Rojo, PR"
311,"Blue Fox Bay, AK"
312,"Greenville, NC"
313,"Lewiston/Auburn, ME"
314,"Ambler, AK"
315,"Chicago, IL"
316,"Cheyenne, WY"
317,"Nuiqsut, AK"
318,"False Island, AK"
319,"Orlando, FL"
320,"Pasco/Kennewick/Richland, WA"
321,"Tuscaloosa, AL"
322,"Titusville, FL"
323,"Deer Harbor, WA"
324,"Kirksville, MO"
325,"Riverton/Lander, WY"
326,"Port Townsend, WA"
327,"Wilmington, NC"
328,"Silver Salmon Creek, AK"
329,"San Jose, CA"
330,"State College, PA"
331,"Moses Lake, WA"
332,"Bristol/Johnson City/Kingsport, TN"
333,"Hog River, AK"
334,"Kenai, AK"
335,"Gambell, AK"
336,"Bardstown, KY"
337,"Seward, AK"
338,"Wichita Falls, TX"
339,"Driggs, ID"
340,"Monument Valley, UT"
341,"Auburn, AL"
342,"Ely, MN"
343,"Clemson, SC"
344,"Boston, MA"
345,"Nunapitchuk, AK"
346,"South Bend, IN"
347,"Bedford, MA"
348,"Bismarck/Mandan, ND"
349,"Gulf Shores, AL"
350,"Anvik, AK"
351,"Taos, NM"
352,"Santa Rosa, CA"
353,"Chicken, AK"
354,"Kodiak Island, AK"
355,"Hillsboro, OR"
356,"La Crosse, WI"
357,"King Cove, AK"
358,"San Carlos, CA"
359,"McAlester, OK"
360,"Olga Bay, AK"
361,"Hyder, AK"
362,"Cherry Point, NC"
363,"Quinhagak, AK"
364,"Fort Dix, NJ"
365,"Harlingen/San Benito, TX"
366,"Flagstaff, AZ"
367,"Belen, NM"
368,"Wenatchee, WA"
369,"Kake, AK"
370,"Philadelphia, PA"
371,"Red Fox Bay, AK"
372,"Binghamton, NY"
373,"Apalachicola, FL"
374,"Goldsboro, NC"
375,"Devils Lake, ND"
376,"Teterboro, NJ"
377,"Port Williams, AK"
378,"Cambridge, MD"
379,"Birmingham, AL"
380,"Beaumont/Port Arthur, TX"
381,"Perryville, AK"
382,"Linden, NJ"
383,"Tyler, TX"
384,"Prospect Creek, AK"
385,"Kougarok, AK"
386,"Scammon Bay, AK"
387,"Bornite/Ruby Creek, AK"
388,"Hayden, CO"
389,"Rockland, ME"
390,"White Mountain, AK"
391,"Ankeny, IA"
392,"Clarksburg/Fairmont, WV"
393,"Santa Barbara, CA"
394,"Hilton Head, SC"
395,"Indianapolis, IN"
396,"Talkeetna, AK"
397,"Glendive, MT"
398,"Pelican, AK"
399,"Port Hobron, AK"
400,"Mason City, IA"
401,"Macon, GA"
402,"Arcata/Eureka, CA"
403,"Monticello, NY"
404,"Dickinson, ND"
405,"Dyersburg, TN"
406,"Martha's Vineyard, MA"
407,"Great Falls, MT"
408,"Nenana, AK"
409,"Okeechobee, FL"
410,"Cody, WY"
411,"Leesburg, VA"
412,"Doylestown, PA"
413,"East Hampton, NY"
414,"Kotlik, AK"
415,"East Farmingdale, NY"
416,"Minneapolis/St. Paul, MN"
417,"Pullman, WA"
418,"Albany, NY"
419,"Tanana, AK"
420,"Corvallis, OR"
421,"Noorvik, AK"
422,"Rockford, IL"
423,"Port Washington, NY"
424,"Gary, IN"
425,"Kalispell, MT"
426,"Meadville, PA"
427,"Dalhart, TX"
428,"Salinas/Monterey, CA"
429,"Knoxville, TN"
430,"Manokotak, AK"
431,"Newport, RI"
432,"Stony River, AK"
433,"Topeka, KS"
434,"Kapolei, HI"
435,"Hickory, NC"
436,"Saginaw/Bay City/Midland, MI"
437,"Ashland, WV"
438,"Victorville, CA"
439,"Taunton, MA"
440,"Ruby, AK"
441,"Edna Bay, AK"
442,"Twin Falls, ID"
443,"Roseburg, OR"
444,"San Diego, CA"
445,"Key West, FL"
446,"Kivalina, AK"
447,"Salt Lake City, UT"
448,"Burlington, VT"
449,"Elmira/Corning, NY"
450,"Kaltag, AK"
451,"Hollister, CA"
452,"Lompoc, CA"
453,"Marana, AZ"
454,"Lubbock, TX"
455,"Crooked Creek, AK"
456,"Afognak Straits, AK"
457,"Daytona Beach, FL"
458,"May Creek, AK"
459,"Savoonga, AK"
460,"Manchester, NH"
461,"Everett, WA"
462,"Latrobe, PA"
463,"Erie, PA"
464,"McCarthy, AK"
465,"Scott, KY"
466,"Springfield, MO"
467,"Terror Lake, AK"
468,"Whale Pass, AK"
469,"St. Augustine, FL"
470,"Kalskag, AK"
471,"Sheridan, WY"
472,"Gillette, WY"
473,"Milwaukee, WI"
474,"Safford, AZ"
475,"Mobile, AL"
476,"Mt. Clemens, MI"
477,"Oak Island, NC"
478,"Patuxent River, MD"
479,"Larsen Bay, AK"
480,"Silver City/Hurley, NM"
481,"Levelock, AK"
482,"Soldotna, AK"
483,"Alpena, MI"
484,"Candle, AK"
485,"Albuquerque, NM"
486,"Pittsburgh, PA"
487,"Olympia, WA"
488,"Columbus, GA"
489,"Hayward, WI"
490,"Westminster, MD"
491,"Lafayette, IN"
492,"Venetie, AK"
493,"Jonesboro, AR"
494,"Rapid City, SD"
495,"Concord, NC"
496,"Brooksville, FL"
497,"Somerville, NJ"
498,"Whitefield, NH"
499,"Nanwalek, AK"
500,"Norman, OK"
501,"Christiansted, VI"
502,"Kasigluk, AK"
503,"Mt. Pocono, PA"
504,"Nixon Fork Mine, AK"
505,"Asheville, NC"
506,"Mansfield, OH"
507,"Waco, TX"
508,"Tenakee, AK"
509,"Russellville, AR"
510,"Rifle, CO"
511,"Lancaster, PA"
512,"Carbondale, IL"
513,"Angoon, AK"
514,"Immokalee, FL"
515,"Rome, NY"
516,"Anacortes, WA"
517,"Washington, NC"
518,"Peach Springs, AZ"
519,"Riverside, CA"
520,"Athens, GA"
521,"Paso Robles, CA"
522,"Columbus, IN"
523,"Grand Canyon, AZ"
524,"Chuathbaluk, AK"
525,"Russian Mission, AK"
526,"Beverly, MA"
527,"Lime Village, AK"
528,"Moline, IL"
529,"Winthrop, WA"
530,"Princeton, NJ"
531,"Oneonta, NY"
532,"Westfield, MA"
533,"Inyokern, CA"
534,"Memphis, TN"
535,"Guam, TT"
536,"Bakersfield, CA"
537,"Lost River, AK"
538,"Port Vita, AK"
539,"Port Angeles, WA"
540,"Saranac Lake/Lake Placid, NY"
541,"Statesboro, GA"
542,"Rhinelander, WI"
543,"Manassas, VA"
544,"Carlsbad, CA"
545,"Branson, MO"
546,"Sacramento, CA"
547,"Presque Isle/Houlton, ME"
548,"Pierre, SD"
549,"Augusta, GA"
550,"Chignik Bay, AK"
551,"Bend/Redmond, OR"
552,"Saratoga Springs, NY"
553,"Stockton, CA"
554,"Vidalia, GA"
555,"Medford, OR"
556,"Santa Maria, CA"
557,"Michellville, MD"
558,"Skaneateles, NY"
559,"Talladega, AL"
560,"Morganton, NC"
561,"Hawthorne, CA"
562,"Paducah, KY"
563,"Diomede Island, AK"
564,"Port Alsworth, AK"
565,"Newport, OR"
566,"Brunswick, GA"
567,"Ekwok, AK"
568,"Marfa, TX"
569,"Findlay, OH"
570,"Fort Drum, NY"
571,"Little Rock, AR"
572,"Hot Springs, AR"
573,"Honolulu, HI"
574,"Dubuque, IA"
575,"Lanai, HI"
576,"Ugashik, AK"
577,"Torrance, CA"
578,"Williston, ND"
579,"Salina, KS"
580,"Meridian, MS"
581,"Sandpoint, AK"
582,"Baltimore, MD"
583,"Umiat, AK"
584,"Stebbins, AK"
585,"Greensboro/High Point, NC"
586,"Merced, CA"
587,"Atmautluak, AK"
588,"Greeneville, TN"
589,"Camarillo, CA"
590,"Nightmute, AK"
591,"Dover, DE"
592,"Lawrenceville, GA"
593,"Berlin, NJ"
594,"Garden City, KS"
595,"Akiak, AK"
596,"Trenton, NJ"
597,"Montpelier/Barre, VT"
598,"Danbury, CT"
599,"Minto, AK"
600,"Chisana, AK"
601,"Durango, CO"
602,"San Francisco, CA"
603,"Atlanta, GA"
604,"Yakima, WA"
605,"Louisville, KY"
606,"Chenega, AK"
607,"Napaskiak, AK"
608,"Montgomery, AL"
609,"Valdosta, GA"
610,"Sumter, SC"
611,"Hollis, AK"
612,"Bryce Canyon, UT"
613,"Pago Pago, TT"
614,"Fort Smith, AR"
615,"Little Port Walter, AK"
616,"Tulare, CA"
617,"Seattle, WA"
618,"Selinsgrove, PA"
619,"Placida, FL"
620,"Nondalton, AK"
621,"Cold Bay, AK"
622,"Tacoma, WA"
623,"Shaktoolik, AK"
624,"Vernal, UT"
625,"Page, AZ"
626,"Gunnison, CO"
627,"Casa Grande, AZ"
628,"Minocqua/Woodruff, WI"
629,"Greenville, TX"
630,"Flat, AK"
631,"Akutan, AK"
632,"Watertown, SD"
633,"West Palm Beach, FL"
634,"Williamsport, PA"
635,"Broomfield, CO"
636,"Nikolski, AK"
637,"Red Devil, AK"
638,"Portland, ME"
639,"Northampton, MA"
640,"Lake City, FL"
641,"Beaver, AK"
642,"Gasquet, CA"
643,"Livermore, CA"
644,"Independence, KS"
645,"Walla Walla, WA"
646,"Mountain Home, ID"
647,"Rawlins, WY"
648,"London/Corbin, KY"
649,"Huntsville, AL"
650,"Bartow, FL"
651,"Wainwright, AK"
652,"St. Mary's, AK"
653,"Decatur, AL"
654,"International Falls, MN"
655,"Akron, OH"
656,"Brownwood, TX"
657,"Selma, AL"
658,"Abingdon, VA"
659,"Manley Hot Springs, AK"
660,"Avalon, CA"
661,"Lebanon-Hanover, NH"
662,"Goodnews Bay, AK"
663,"Kona, HI"
664,"Montrose/Delta, CO"
665,"Metlakatla, AK"
666,"Clovis, NM"
667,"Columbia, TN"
668,"Oxnard/Ventura, CA"
669,"Huslia, AK"
670,"Cedar Rapids/Iowa City, IA"
671,"Lakeland, FL"
672,"Edwards, CA"
673,"Mertarvik, AK"
674,"Odessa, WA"
675,"Shreveport, LA"
676,"Sidney, MT"
677,"New Haven, CT"
678,"Tetlin, AK"
679,"Millville, NJ"
680,"Nogales, AZ"
681,"Homer, AK"
682,"Ashland, OR"
683,"Headland, AL"
684,"Lakewood, NJ"
685,"Jackson/Vicksburg, MS"
686,"Napa, CA"
687,"Skagway, AK"
688,"Bridgeport, CT"
689,"Douglas, WY"
690,"Deering, AK"
691,"College Station/Bryan, TX"
692,"Danger Bay, AK"
693,"Fargo, ND"
694,"Beckley, WV"
695,"Hayward, CA"
696,"Barter Island, AK"
697,"Ukiah, CA"
698,"Aurora, CO"
699,"Fort Wayne, IN"
700,"Trading Bay, AK"
701,"Walterboro, SC"
702,"Bible Camp, AK"
703,"Walnut Ridge, AR"
704,"Ponce, PR"
705,"Hays, KS"
706,"Plainville, CT"
707,"Malina Bay, AK"
708,"Missoula, MT"
709,"Camp Springs, MD"
710,"Seal Bay, AK"
711,"Fairbanks, AK"
712,"Brookings, OR"
713,"Palm Springs, CA"
714,"Glens Falls, NY"
715,"Tulsa, OK"
716,"Mojave, CA"
717,"Butte, MT"
718,"Muskegon, MI"
719,"Brockport, NY"
720,"Burbank, CA"
721,"Dahl Creek, AK"
722,"Bloomington/Normal, IL"
723,"Dallas, TX"
724,"Charlotte, NC"
725,"Kalaupapa, HI"
726,"Mayaguez, PR"
727,"Ithaca/Cortland, NY"
728,"Homestead, FL"
729,"Long Beach, CA"
730,"Pueblo, CO"
731,"Morgantown, WV"
732,"Keene, NH"
733,"McGrath, AK"
734,"McCook, NE"
735,"Punta Gorda, FL"
736,"Heber, UT"
737,"Togiak, AK"
738,"Sheboygan, WI"
739,"Idaho Falls, ID"
740,"Del Rio, TX"
741,"Traverse City, MI"
742,"Wichita, KS"
743,"Springfield, TN"
744,"Fayetteville, NC"
745,"El Paso, TX"
746,"Sugar Land, TX"
747,"Galbraith Lake, AK"
748,"Uganik, AK"
749,"Natchez, MS"
750,"Frederick, MD"
751,"Brigham City, UT"
752,"Lake Minchumina, AK"
753,"Nantucket, MA"
754,"Canandaigua, NY"
755,"New Richmond, WI"
756,"Holy Cross, AK"
757,"Tok, AK"
758,"Unalaska, AK"
759,"Lake Placid, NY"
760,"Cordova, AK"
761,"Fresno, CA"
762,"Wolf Point, MT"
763,"Chelan, WA"
764,"Fort Myers, FL"
765,"Allentown/Bethlehem/Easton, PA"
766,"Shirley, NY"
767,"Rocky Mount, NC"
768,"Front Royal, VA"
769,"Boca Raton, FL"
770,"Kenmore, WA"
771,"Norwood, MA"
772,"Eagle, CO"
773,"Pahokee, FL"
774,"Anaktuvuk Pass, AK"
775,"Marble Canyon, AZ"
776,"Belmar/Farmingdale, NJ"
777,"Scranton/Wilkes-Barre, PA"
778,"Hobbs, NM"
779,"Ballinger, TX"
780,"Chandalar, AK"
781,"Bedford, PA"
782,"Cape Newenham, AK"
783,"Destin, FL"
784,"Plattsburgh, NY"
785,"Kingston, NY"
786,"Abilene, TX"
787,"Green Valley, AZ"
788,"Alamosa, CO"
789,"Joplin, MO"
790,"Manistee/Ludington, MI"
791,"Klamath Falls, OR"
792,"Tallahassee, FL"
793,"Emmonak, AK"
794,"Mekoryuk, AK"
795,"Lancaster, CA"
796,"Kavik River, AK"
797,"Cape Romanzof, AK"
798,"Sioux Falls, SD"
799,"Haines, AK"
800,"Bishop, CA"
801,"Marion, IN"
802,"Crescent City, CA"
803,"Baranof, AK"
804,"Astoria/Seaside, OR"
805,"Marquette, MI"
806,"Grand Junction, CO"
807,"Anderson, IN"
808,"Duluth, MN"
809,"Alexandria, LA"
810,"Ludington, MI"
811,"Port Hueneme, CA"
812,"Karluk, AK"
813,"Hilo, HI"
814,"Elfin Cove, AK"
815,"Athens, OH"
816,"St. Louis, MO"
817,"Craig, AK"
818,"Big Bay, AK"
819,"Statesville, NC"
820,"Pilot Point, AK"
821,"Denver, CO"
822,"Koyuk, AK"
823,"Egegik, AK"
824,"Modesto, CA"
825,"Kuparuk, AK"
826,"Florence, OR"
827,"Cape Girardeau, MO"
828,"White Plains, NY"
829,"Kipnuk, AK"
830,"Farmington, NM"
831,"Bullhead City, AZ"
832,"Northway, AK"
833,"North Kingstown, RI"
834,"Calhoun, GA"
835,"Old Harbor, AK"
836,"Kantishna, AK"
837,"Hoolehua, HI"
838,"Clarks Point, AK"
839,"Morrisville, VT"
840,"Jackson, TN"
841,"Tampa, FL"
842,"Cincinnati, OH"
843,"Amook Bay, AK"
844,"Red Lake, AK"
845,"Peoria, IL"
846,"Torrington, WY"
847,"Kizhuyak, AK"
848,"Melbourne, FL"
849,"Keyes Point, AK"
850,"Onion Bay, AK"
851,"Moultonboro, NH"
852,"Sidney, NE"
853,"Jacksonville/Camp Lejeune, NC"
854,"Gaylord, MI"
855,"Wilmington, OH"
856,"Carrabassett, ME"
857,"Ogden, UT"
858,"Tin City, AK"
859,"Rosario, WA"
860,"Brunswick, ME"
861,"Port Graham, AK"
862,"Middlebury, VT"
863,"San Angelo, TX"
864,"Oak Harbor, WA"
865,"Yuma, AZ"
866,"Shishmaref, AK"
867,"Wilmington, DE"
868,"Hanford, CA"
869,"Murray, KY"
870,"Tatitlek, AK"
871,"Hana, HI"
872,"Monroe, LA"
873,"Iron Mountain/Kingsfd, MI"
874,"Vero Beach, FL"
875,"Aguadilla, PR"
876,"Cooper Lodge, AK"
877,"Santa Monica, CA"
878,"New Stuyahok, AK"
879,"Kanab, UT"
880,"Walker, MN"
881,"Penn Yan, NY"
882,"Donlin Creek Mine, AK"
883,"Blue Bell, PA"
884,"Camden, SC"
885,"Healy, AK"
886,"West Chester, PA"
887,"Prescott, AZ"
888,"Pendleton, OR"
889,"Syracuse, NY"
890,"Nikolai, AK"
891,"Galveston, TX"
892,"Monroeville, AL"
893,"Valentine, NE"
894,"Seldovia, AK"
895,"Shageluk, AK"
896,"Thermal, CA"
897,"Lexington, KY"
898,"Brainerd, MN"
899,"Selawik, AK"
900,"Bozeman, MT"
901,"Chefornak, AK"
902,"Bermuda Dunes, CA"
903,"Scottsbluff, NE"
904,"Skwentna, AK"
905,"Oshkosh, WI"
906,"Kiavak, AK"
907,"Laura Lake, AK"
908,"Watsonville, CA"
909,"Bradford, PA"
910,"Center, TX"
911,"Wasilla, AK"
912,"Fairfield, CA"
913,"Livingston, MT"
914,"Afognak Lake, AK"
915,"Iliamna, AK"
916,"Fond Du Lac, WI"
917,"Dillingham, AK"
918,"Corner Bay, AK"
919,"Dover-Cheswold, DE"
920,"Naples, FL"
921,"Conroe, TX"
922,"Camilla, GA"
923,"Gulfport/Biloxi, MS"
924,"Newport News/Hampton, VA"
925,"Toledo, OH"
926,"Mena, AR"
927,"Newtok, AK"
928,"Bar Harbor, ME"
929,"Rogers, AR"
930,"Kenosha, WI"
931,"Biddeford, ME"
932,"Farewell, AK"
933,"Monterey, CA"
934,"Dumas, TX"
935,"Birch Creek, AK"
936,"Chalkyitsik, AK"
937,"Eagle, AK"
938,"San Bernardino, CA"
939,"New Jersey, NJ"
940,"Paxson, AK"
941,"Buckland, AK"
942,"Charlotte Amalie, VI"
943,"Kitoi Bay, AK"
944,"Aurora, OR"
945,"Tununak, AK"
946,"Salisbury, MD"
947,"Fernandina Beach, FL"
948,"Sequim, WA"
949,"Hiawatha, KS"
950,"Kinston, NC"
951,"Durant, OK"
952,"Mesquite, TX"
953,"Block Island, RI"
954,"Tracy Arm, AK"
955,"Pack Creek, AK"
956,"Billings, MT"
957,"Eugene, OR"
958,"Manhattan/Ft. Riley, KS"
959,"Rochester, NY"
960,"Waterloo, IA"
961,"New London/Groton, CT"
962,"Calexico, CA"
963,"Central, AK"
964,"Koliganek, AK"
965,"Youngstown/Warren, OH"
966,"Mattituck, NY"
967,"Lazy Bay, AK"
968,"Richmond, VA"
969,"Coffeyville, KS"
970,"Eagle Pass, TX"
971,"Westhampton, NY"
972,"Toms River, NJ"
973,"Port Protection, AK"
974,"Waukegan, IL"
975,"Parkersburg, WV"
976,"Circle, AK"
977,"Harrison, AR"
978,"Salmon, ID"
979,"Dublin, VA"
980,"Point Lay, AK"
981,"San Luis Obispo, CA"
982,"Fairhope, AL"
983,"Dallas/Fort Worth, TX"
984,"Killeen, TX"
985,"Telluride, CO"
986,"Shelton, WA"
987,"Charleston, SC"
988,"Aberdeen, SD"
989,"Easton, MD"
990,"Waukesha, WI"
991,"Green Bay, WI"
992,"Truckee, CA"
993,"Lawrence, MA"
994,"Chattanooga, TN"
995,"Escanaba, MI"
996,"Stuart, FL"
997,"Cape May, NJ"
998,"Pensacola, FL"
999,"Louisa, VA"
1000,"Lake Tahoe, CA"
1001,"Mission/McAllen/Edinburg, TX"
1002,"Mary Esther, FL"
1003,"Lewiston, ID"
1004,"Gadsden, AL"
1005,"Naknek, AK"
1006,"Elkhart, IN"
1007,"Norfolk, VA"
1008,"Reading, PA"
1009,"Atka, AK"
1010,"Norwich, NY"
1011,"Chicopee Falls, MA"
1012,"Bandon, OR"
1013,"Kamuela, HI"
1014,"Hoonah, AK"
1015,"Madison, WI"
1016,"Charlottesville, VA"
1017,"Omaha, NE"
1018,"Marco Island, FL"
1019,"Marshfield, MA"
1020,"Las Cruces, NM"
1021,"Grand Rapids, MI"
1022,"Globe, AZ"
1023,"Jamestown, NY"
1024,"Pellston, MI"
1025,"Kaktovik, AK"
1026,"Gettysburg, PA"
1027,"Pittsfield, MA"
1028,"Phoenix, AZ"
1029,"Kulik Lake, AK"
1030,"Beluga, AK"
1031,"Karluk Lake, AK"
1032,"Millinocket, ME"
1033,"Searcy, AR"
1034,"Los Angeles, CA"
1035,"Carlsbad, NM"
1036,"Millington, TN"
1037,"Ruston, LA"
1038,"Chico, CA"
1039,"Kalamazoo, MI"
1040,"Portland, TN"
1041,"Belfast, ME"
1042,"Adak Island, AK"
1043,"Somerset, KY"
1044,"Beaufort, SC"
1045,"Atqasuk, AK"
1046,"Fort Dodge, IA"
1047,"Massena, NY"
